Capital_Receipts,Aggregate_Receipts,Social_Sector_Expenditure,Interest_Payments,Own_Tax_Revenues,Fiscal_Deficits,Outstanding_Liabilities,Aggregate_Expenditure,Revenue_Receipts,Revenue_Expenditure,Revenue_Deficits,Capital_Expenditure,Nominal_GSDP_Series
1939.0,6111.0,2075.0,542.7,1529.0,1410.0,456.3,6225.0,4172.0,4349.0,177.0,1876.0,30657.0
904.0,3414.0,1500.0,333.5,1219.0,587.0,211.14,3508.0,2510.0,2698.0,188.0,810.0,20803.0
917.0,4395.0,1884.0,312.9,1819.0,568.0,233.13,4294.0,3478.0,3441.0,-37.0,853.0,19608.0
9.0,305.0,102.0,31.8,2.0,38.0,4.77,348.0,296.0,246.0,-50.0,102.0,330.0
535.0,1776.0,681.0,184.8,249.0,421.0,64.69,1794.0,1241.0,1326.0,84.0,469.0,7001.0
1016.0,3825.0,1431.0,346.5,761.0,825.0,235.84,3914.0,2809.0,2619.0,-190.0,1295.0,17638.0
200.0,362.0,86.0,33.0,52.0,72.0,15.68,258.0,162.0,169.0,7.0,90.0,856.0
1159.0,3965.0,1537.0,310.5,1526.0,976.0,204.19,4089.0,2806.0,3093.0,286.0,996.0,16339.0
353.0,1657.0,488.0,150.1,664.0,216.0,81.1,1663.0,1304.0,1288.0,-17.0,375.0,7739.0
170.0,820.0,322.0,49.1,103.0,129.0,42.98,805.0,650.0,609.0,-41.0,196.0,1722.0
469.0,1223.0,460.0,114.8,123.0,417.0,57.36,1269.0,754.0,861.0,107.0,408.0,2524.0
927.0,3484.0,1361.0,247.6,1415.0,518.0,146.97,3437.0,2557.0,2667.0,110.0,770.0,15158.0
663.0,2249.0,976.0,213.2,925.0,448.0,144.69,2251.0,1586.0,1781.0,195.0,470.0,9578.0
1074.0,4068.0,1527.0,291.5,1115.0,725.0,179.75,3932.0,2994.0,3053.0,59.0,879.0,18397.0
1462.0,7041.0,2603.0,527.2,3219.0,1014.0,370.52,6929.0,5579.0,5505.0,-74.0,1425.0,37754.0
29.0,316.0,111.0,18.1,12.0,17.0,10.4,319.0,287.0,215.0,-72.0,104.0,604.0
13.0,270.0,91.0,9.6,20.0,1.5,6.58,264.0,257.0,190.0,-66.0,74.0,534.0
21.0,215.0,126.0,13.1,4.0,102.0,7.71,306.0,194.0,246.0,52.0,60.0,286.0
53.0,404.0,150.0,23.4,15.0,60.0,8.76,436.0,351.0,328.0,-23.0,107.0,395.0
672.0,2005.0,742.0,206.9,387.0,506.0,136.36,1990.0,1333.0,1408.0,75.0,582.0,7614.0
1247.0,2652.0,595.0,161.2,916.0,968.0,179.04,2623.0,1405.0,1634.0,229.0,990.0,12255.0
1021.0,3204.0,1439.0,298.7,773.0,903.0,192.29,3384.0,2183.0,2539.0,356.0,845.0,10925.0
7.0,134.0,46.0,4.0,11.0,9.0,2.6,139.0,127.0,99.0,-28.0,40.0,167.0
1040.0,4132.0,1735.0,239.0,1762.0,660.0,195.12,4196.0,3092.0,3375.0,283.0,821.0,20693.0
57.0,371.0,170.0,22.9,14.0,62.0,11.63,393.0,314.0,294.0,-20.0,98.0,668.0
1688.0,7020.0,2337.0,693.8,1989.0,1014.0,524.28,6901.0,5332.0,5080.0,-252.0,1821.0,34352.0
1003.0,3915.0,1652.0,394.1,1449.0,551.0,251.73,3941.0,2912.0,3028.0,115.0,913.0,25078.0
1005.0,5284.0,2103.0,372.8,2122.0,673.0,283.01,5223.0,4279.0,4246.0,-33.0,977.0,24732.0
34.0,341.0,113.0,10.0,2.0,1.0,5.66,326.0,307.0,214.0,-93.0,111.0,387.0
504.0,1877.0,727.0,218.9,279.0,303.0,67.65,1855.0,1373.0,1435.0,62.1,420.0,7600.0
829.0,4318.0,1849.0,378.1,831.0,535.0,271.09,4324.0,3489.0,3211.0,-277.5,1113.0,21181.0
37.0,248.0,122.0,15.7,62.0,64.0,19.36,284.0,211.0,199.0,-12.0,85.0,978.0
1230.0,4466.0,1590.0,391.8,1871.0,735.0,250.68,4374.0,3236.0,3362.0,126.7,1011.0,22349.0
456.0,1897.0,650.0,160.6,795.0,289.0,102.5,1879.0,1441.0,1443.0,1.9,436.0,10015.0
188.0,886.0,398.0,69.0,118.0,254.0,63.83,985.0,698.0,768.0,69.8,216.0,2157.0
503.0,1405.0,458.0,198.3,138.0,410.0,64.29,1404.0,902.0,966.0,63.9,439.0,3065.0
826.0,3790.0,1441.0,291.1,1699.0,497.0,174.55,3778.0,2964.0,3002.0,38.7,776.0,17709.0
623.0,2520.0,1109.0,244.5,1066.0,412.0,173.33,2521.0,1897.0,2061.0,163.9,460.0,10673.0
867.0,4339.0,1810.0,396.6,1338.0,871.0,219.57,4596.0,3472.0,3618.0,145.8,978.0,21663.0
1971.0,8271.0,2937.0,633.5,3823.0,1277.0,442.64,8102.0,6300.0,6541.0,240.8,1561.0,45160.0
65.0,408.0,151.0,19.5,12.0,33.0,13.28,393.0,343.0,278.0,-65.0,115.0,680.0
37.0,339.0,119.0,11.2,28.0,10.0,8.62,318.0,302.0,225.0,-77.7,94.0,589.0
-5.0,269.0,117.0,2.1,2.0,11.0,8.42,287.0,274.0,231.0,-43.0,56.0,288.0
62.0,447.0,154.0,27.0,16.0,48.0,10.63,457.0,385.0,344.0,-41.2,114.0,477.0
764.0,2315.0,843.0,303.7,443.0,550.0,162.81,2261.0,1551.0,1659.0,107.8,602.0,9613.0
1273.0,2897.0,929.0,219.2,1041.0,833.0,218.23,2666.0,1624.0,1868.0,244.1,798.0,14088.0
1136.0,3488.0,1412.0,377.0,893.0,736.0,241.36,3415.0,2352.0,2571.0,218.5,845.0,14555.0
21.0,170.0,57.0,5.5,11.0,11.0,4.15,164.0,149.0,113.0,-36.0,51.0,185.0
1060.0,4549.0,1921.0,305.0,1994.0,654.0,231.89,4617.0,3489.0,3763.0,274.2,854.0,23199.0
64.0,460.0,216.0,20.8,18.0,84.0,15.25,492.0,396.0,381.0,-15.1,112.0,853.0
2450.0,8102.0,2919.0,814.6,2066.0,1802.0,621.03,8079.0,5652.0,6257.0,604.5,1822.0,41102.0
1038.0,4375.0,1852.0,448.9,1735.0,579.0,321.92,4279.0,3337.0,3475.0,137.2,804.0,27107.0
1237.0,5714.0,2387.0,470.9,2384.0,972.0,348.29,5768.0,4477.0,4715.0,238.2,1053.0,28284.0
68.0,357.0,126.0,16.7,2.0,75.0,7.35,392.0,289.0,258.0,-31.6,134.0,412.0
636.0,2168.0,769.0,265.4,333.0,528.0,86.66,2266.0,1532.0,1669.0,136.7,598.0,9084.0
1283.0,5194.0,2027.0,577.8,925.0,994.0,328.66,5219.0,3911.0,3945.0,34.0,1275.0,22610.0
118.0,335.0,136.0,25.5,70.0,95.0,25.1,327.0,217.0,228.0,11.0,98.0,1128.0
1368.0,4969.0,1726.0,470.0,2160.0,952.0,341.9,4844.0,3601.0,3727.0,126.0,1117.0,24777.0
438.0,2045.0,695.0,206.4,910.0,393.0,138.1,2121.0,1607.0,1702.0,95.0,419.0,11147.0
197.0,918.0,373.0,88.0,142.0,226.0,78.4,992.0,721.0,783.0,61.0,209.0,2436.0
653.0,1611.0,514.0,212.5,133.0,524.0,77.39,1611.0,958.0,1081.0,123.0,530.0,3299.0
1091.0,4427.0,1534.0,349.1,1932.0,625.0,210.45,4401.0,3336.0,3483.0,147.0,918.0,20214.0
849.0,2897.0,1197.0,293.0,1233.0,604.0,222.14,2889.0,2048.0,2298.0,250.0,591.0,12213.0
1118.0,4995.0,1877.0,432.9,1578.0,723.0,259.33,4823.0,3877.0,3779.0,-98.0,1044.0,24492.0
2425.0,9954.0,3446.0,756.6,4401.0,1844.0,588.13,9737.0,7529.0,7903.0,374.0,1835.0,55674.0
48.0,380.0,155.0,18.7,13.0,71.0,16.14,423.0,332.0,299.0,-33.0,123.0,720.0
37.0,346.0,130.0,11.4,31.0,31.0,11.17,351.0,309.0,259.0,-50.0,92.0,761.0
105.0,409.0,130.0,0.9,3.0,-3.0,11.78,303.0,304.0,240.0,-64.0,64.0,312.0
126.0,473.0,181.0,35.7,12.0,141.0,13.89,515.0,347.0,393.0,46.0,122.0,545.0
611.0,2352.0,938.0,310.4,525.0,574.0,206.14,2475.0,1741.0,1846.0,105.0,629.0,11025.0
1106.0,2906.0,990.0,233.7,1228.0,909.0,266.1,2887.0,1800.0,2021.0,221.0,866.0,16980.0
936.0,3604.0,1405.0,437.0,1073.0,581.0,316.84,3565.0,2668.0,2698.0,30.0,868.0,15794.0
46.0,180.0,56.0,7.4,11.0,30.0,5.93,167.0,134.0,115.0,-19.0,52.0,204.0
1348.0,5600.0,2339.0,366.5,2489.0,919.0,295.68,5662.0,4252.0,4731.0,479.0,931.0,27134.0
173.0,600.0,227.0,27.8,21.0,89.0,19.93,525.0,427.0,420.0,-7.0,105.0,936.0
2761.0,9384.0,3610.0,1041.9,2449.0,2482.0,779.34,9637.0,6623.0,7654.0,1031.0,1983.0,46926.0
